311,104,0,0.42
303,98,0,0.56
313,109,0,0.79
301,104,1,0.68
310,104,0,0.7
320,104,1,0.76
305,105,0,0.67
313,102,0,0.71
312,108,0,0.69
325,110,1,0.73
327,118,1,0.93
302,101,0,0.46
326,116,1,0.81
329,113,1,0.89
340,114,1,0.9
327,111,1,0.78
331,115,1,0.92
324,110,1,0.8
317,103,1,0.73
294,95,0,0.49
326,112,1,0.84
315,104,0,0.67
322,103,1,0.61
322,110,1,0.8
314,110,0,0.75
326,108,0,0.8
317,106,0,0.73
312,101,1,0.68
323,108,1,0.81
340,112,1,0.94
298,92,0,0.51
306,103,0,0.64
305,107,0,0.71
298,98,0,0.34
322,104,1,0.78
323,110,1,0.81
309,108,0,0.72
327,113,1,0.8
319,105,1,0.77
296,99,0,0.47
304,105,1,0.54
308,110,0,0.7
326,102,1,0.77
316,102,0,0.64
315,105,0,0.7
319,103,0,0.76
334,116,1,0.78
316,106,0,0.72
333,119,1,0.96
328,110,1,0.81
318,110,0,0.63
322,105,1,0.65
299,100,0,0.59
331,116,1,0.93
332,108,1,0.87
336,118,1,0.92
300,100,0,0.62
299,94,0,0.42
314,104,0,0.82
326,114,1,0.86
307,105,0,0.58
324,100,1,0.78
320,110,1,0.87
324,113,0,0.76
314,108,1,0.84
327,113,0,0.83
327,112,1,0.74
312,105,0,0.64
305,108,0,0.61
311,105,1,0.73
296,99,0,0.61
328,116,1,0.94
312,103,0,0.76
322,114,1,0.86
305,105,0,0.66
309,99,0,0.76
325,110,1,0.75
301,96,0,0.54
301,104,1,0.68
325,108,1,0.79
312,105,0,0.72
307,102,0,0.73
324,110,1,0.84
324,112,1,0.88
329,114,1,0.86
324,105,0,0.79
334,119,1,0.94
336,119,1,0.95
301,99,0,0.64
302,110,0,0.65
327,116,1,0.9
313,107,0,0.72
316,111,0,0.71
321,109,1,0.79
304,107,0,0.57
323,107,1,0.73
307,107,1,0.78
325,112,0,0.55
329,110,1,0.84
312,110,0,0.64
325,112,1,0.8
314,99,1,0.71
312,107,1,0.64
311,104,1,0.74
317,104,0,0.57
334,117,1,0.89
322,110,1,0.78
310,107,0,0.76
295,99,0,0.57
327,106,1,0.76
301,106,0,0.57
298,101,1,0.53
336,112,1,0.96
300,102,0,0.63
319,102,0,0.68
331,116,1,0.92
307,101,0,0.47
330,114,1,0.9
322,110,0,0.7
327,113,0,0.84
312,103,0,0.73
333,117,1,0.95
300,102,0,0.56
314,109,1,0.82
338,117,1,0.91
329,113,1,0.89
319,110,0,0.72
313,98,1,0.76
297,101,1,0.57
324,114,1,0.89
323,113,1,0.79
307,105,0,0.53
318,109,0,0.78
298,99,0,0.46
324,112,1,0.8
318,106,0,0.71
304,105,0,0.52
319,106,1,0.65
300,97,1,0.65
310,103,0,0.72
315,105,0,0.66
328,115,1,0.78
338,120,1,0.95
316,110,1,0.69
321,109,1,0.69
315,104,0,0.65
339,116,1,0.96
330,120,1,0.93
314,106,0,0.62
312,99,1,0.52
315,105,0,0.39
327,103,1,0.74
304,103,0,0.71
314,102,0,0.64
320,104,1,0.74
299,106,0,0.64
302,102,0,0.65
323,104,1,0.73
323,113,1,0.89
322,112,1,0.76
299,100,0,0.63
313,104,0,0.73
324,107,1,0.81
305,102,0,0.62
319,108,0,0.66
314,108,0,0.64
319,112,1,0.78
331,120,1,0.86
335,117,1,0.94
321,111,1,0.8
316,103,0,0.52
317,106,1,0.61
310,106,0,0.57
311,98,0,0.57
316,102,0,0.67
310,99,0,0.54
337,117,1,0.96
300,105,0,0.58
309,106,0,0.62
330,116,1,0.93
327,104,1,0.71
323,110,1,0.79
311,101,1,0.7
340,120,1,0.97
330,115,1,0.9
336,118,1,0.94
318,100,1,0.71
310,101,1,0.71
326,113,1,0.91
301,102,1,0.68
324,111,1,0.7
330,114,1,0.86
299,100,0,0.42
331,116,1,0.93
321,109,1,0.74
321,109,1,0.85
326,110,1,0.79
324,113,1,0.92
330,116,1,0.91
321,112,1,0.86
290,100,0,0.47
312,98,1,0.64
307,105,1,0.67
340,120,1,0.97
303,102,0,0.62
298,99,0,0.53
325,114,1,0.91
311,102,1,0.68
314,103,0,0.65
306,110,0,0.63
312,109,0,0.77
324,115,1,0.7
330,113,1,0.91
333,113,1,0.89
311,106,1,0.79
332,118,1,0.94
316,99,0,0.7
317,106,1,0.75
305,103,0,0.59
340,113,1,0.96
300,100,1,0.64
316,105,0,0.72
312,106,0,0.71
302,102,0,0.5
321,111,1,0.87
300,95,1,0.62
328,113,1,0.83
317,105,0,0.68
296,101,0,0.6
305,104,0,0.53
323,107,1,0.78
332,118,1,0.9
322,109,0,0.76
305,106,0,0.64
334,119,1,0.95
323,113,1,0.85
305,112,0,0.71
311,103,0,0.64
312,105,1,0.5
298,100,1,0.58
308,102,1,0.58
298,101,0,0.54
326,112,1,0.84
318,112,0,0.71
290,104,0,0.45
306,106,0,0.61
320,113,1,0.81
315,105,0,0.75
310,105,0,0.71
324,111,1,0.82
339,114,1,0.96
314,105,0,0.7
325,114,1,0.76
316,109,1,0.74
300,99,0,0.58
311,99,0,0.65
301,98,1,0.67
324,110,1,0.82
334,120,1,0.97
315,100,0,0.58
298,98,1,0.44
304,100,0,0.42
315,101,0,0.79
299,100,0,0.51
311,104,0,0.71
294,93,0,0.46
311,105,1,0.59
315,103,0,0.57
298,105,0,0.69
295,99,0,0.37
324,112,1,0.72
324,110,1,0.89
306,100,0,0.48
301,100,0,0.67
322,110,1,0.86
308,106,0,0.58
321,110,1,0.82
311,99,1,0.71
318,109,0,0.67
297,96,0,0.43
303,105,0,0.77
325,111,0,0.52
307,108,0,0.48
316,104,1,0.72
304,101,0,0.38
301,97,1,0.44
325,112,1,0.8
317,106,1,0.73
299,97,0,0.38
312,107,1,0.73
301,107,1,0.62
320,110,1,0.88
296,97,0,0.49
312,104,0,0.74
311,101,1,0.62
328,112,1,0.78
336,119,1,0.97
319,108,1,0.71
302,99,0,0.56
308,106,1,0.75
